year,player,Tm,mp,g,TS%,USG%,AST%,TRB%,STL%,BLK%,TOV%,OWS,DWS,WS
2023,Nikolina Milic,MIN,494,39,0.533,0.237,0.122,0.109,0.4,0.9,0.162,0.2,0.1,0.3
2023,Dulcy Fankam Mendjiadeu,SEA,470,34,0.538,0.145,0.044000000000000004,0.18,1.4,2.0,0.18899999999999997,0.4,0.5,0.9
2023,Ivana DojkiÄ,SEA,461,23,0.544,0.166,0.239,0.049,2.0,0.7,0.20199999999999999,0.3,0.3,0.6
2023,Shakira Austin,WAS,440,19,0.528,0.22399999999999998,0.071,0.17800000000000002,1.8,3.6,0.163,-0.1,1.0,0.9
2023,Rachel Banham,MIN,435,32,0.514,0.215,0.21100000000000002,0.043,1.3,0.6,0.174,-0.1,0.1,0.0
2023,Candace Parker,LVA,425,18,0.573,0.182,0.226,0.132,3.1,3.1,0.18,0.9,1.1,2.1
2023,Kierstan Bell,LVA,424,36,0.419,0.182,0.059000000000000004,0.076,1.7,1.0,0.08199999999999999,-0.5,0.7,0.1
2023,Brionna Jones,CON,412,13,0.625,0.214,0.136,0.154,3.0,1.5,0.149,1.4,0.9,2.3
2023,Jasmine Thomas,LAS,410,32,0.37,0.152,0.161,0.05,1.1,1.4,0.155,-0.8,0.3,-0.4
2023,Awak Kuier,DAL,399,37,0.462,0.132,0.07,0.134,0.9,5.3,0.17600000000000002,0.0,0.5,0.4
2023,Morgan Bertsch,CHI,398,28,0.554,0.157,0.07400000000000001,0.07,1.3,1.4,0.214,-0.1,0.3,0.1
2023,AD Durr,ATL,392,36,0.48,0.23199999999999998,0.111,0.054000000000000006,1.3,0.6,0.135,-0.4,0.4,-0.1
2023,Lexie Brown,LAS,364,12,0.631,0.168,0.142,0.040999999999999995,1.5,0.8,0.11900000000000001,0.7,0.3,1.1
2023,Kadi Sissoko,PHO,336,40,0.427,0.132,0.037000000000000005,0.114,0.5,1.3,0.27399999999999997,-0.8,0.0,-0.8
2023,Odyssey Sims,DAL,335,28,0.353,0.11900000000000001,0.249,0.063,1.8,0.0,0.179,-0.1,0.2,0.1
2023,Queen Egbo,WAS,332,21,0.564,0.193,0.049,0.165,2.0,4.2,0.171,0.1,0.7,0.8
2023,Rae Burrell,LAS,322,29,0.513,0.16699999999999998,0.094,0.068,2.1,0.9,0.128,0.1,0.4,0.5
2023,Maddy Siegrist,DAL,319,39,0.585,0.177,0.04,0.109,1.3,1.9,0.067,1.2,0.2,1.4
